album_id,title,artist_id
156,And Justice For All,50
208,Black Light Syndrome,136
257,Century Masters - The Millennium Collection: The Best of Scorpions,179
296,"A Copland Celebration, Vol. I",230
94,A Matter of Life and Death,90
95,A Real Dead One,90
96,A Real Live One,90
285,A Soprano Inspired,219
139,A TempestadeTempestade Ou O Livro Dos Dias,99
224,Acastico,146
167,Acastico MTV,113
26,Acastico MTV live,19
160,Ace Of Spades,106
232,Achtung Baby,150
307,"Adams, John: The Chairman Dances",242
272,Adorate Deum: Gregorian Chant from the Proper of the Mass,206
24,Afrociberdelia,18
74,Album Of The Year,82
14,Alcohol Fueled Brewtality Live! [Disc 1],11
15,Alcohol Fueled Brewtality Live! [Disc 2],11
233,All That You Can't Leave Behind,150
273,Allegri: Miserere,207
89,American Idiot,54
75,Angel Dust,82
248,Ao Vivo [import],155
90,Appetite for Destruction,88
254,Aquaman,159
120,Are You Experienced?,94
319,Armada: Music from the Courts of England and Spain,251
168,Arquivo II,113
169,Arquivo Os Paralamas Do Sucesso,113
85,As Canµes de Eu Tu Eles,27
203,A-Sides,132
10,Audioslave,8
29,AxA Bahia 2001,21
277,Bach: Goldberg Variations,211
327,Bach: Orchestral Suites Nos. 1 to 4,257
300,Bach: The Brandenburg Concertos,234
278,Bach: The Cello Suites,212
297,Bach: Toccata & Fugue in D Minor,231
276,Bach: Violin Concertos,210
321,Back to Black,252
12,BackBeat Soundtrack,9
2,Balls to the Wall,2
170,Bark at the Moon (Remastered),114
325,Bartok: Violin & Viola Concertos,255
145,Barulhinho Bom,103
253,"Battlestar Galactica (Classic), Season 1",158
227,"Battlestar Galactica, Season 3",147
226,Battlestar Galactica: The Story So Far,147
30,BBC Sessions [Disc 1] [live],22
127,BBC Sessions [Disc 2] [live],22
304,Beethoven Piano Sonatas: Moonlight & Pastorale,238
284,Beethoven: Symhonies Nos. 5 & 6,218
324,Beethoven: Symphony No. 6 'Pastoral' Etc.,254
312,Berlioz: Symphonie Fantastique,245
212,Beyond Good And Evil,139
5,Big Ones,3
313,Bizet: Carmen Highlights,246
148,Black Album,50
16,Black Sabbath,12
17,Black Sabbath Vol. 4 (Remaster),12
171,Blizzard of Ozz,114
193,Blood Sugar Sex Magik,127
93,Blue Moods,89
18,Body Count,13
31,Bongo Fury,23
97,Brave New World,90
234,B-Sides ,150
194,By The Way,127
56,C√°ssia Eller - Cole√√£o Sem Limite [Disc 2],77
57,C√°ssia Eller - Sem Limite [Disc 1],77
124,Cafezinho,97
260,Cake: B-Sides and Rarities,196
195,Californication,127
295,Carmina Burana,229
32,Carnaval 2001,21
323,Carried to Dust (Bonus Track Version),253
270,Carry On,205
191,Cesta B√°sica,125
328,"Charpentier: Divertissements, Airs & Concerts",258
19,Chemical Wedding,14
33,Chill: Brazil (Disc 1),24
34,Chill: Brazil (Disc 2),6
301,Chopin: Piano Concertos Nos. 1 & 2,235
54,"Chronicle, Vol. 1",76
55,"Chronicle, Vol. 2",76
27,Cidade Negra - Hits,19
128,Coda,22
58,Come Taste The Band,58
165,Compositores,111
246,Contraband,153
206,Core,134
25,Da Lama Ao Caos,18
98,Dance Of Death,90
183,Dark Side Of The Moon,120
59,Deep Purple In Rock,58
78,Deixa Entrar,83
161,Demorou...,108
172,Diary of a Madman (Remastered),114
242,Diver Down,152
69,Djavan Ao Vivo - Vol. 02,80
70,Djavan Ao Vivo - Vol. 1,80
266,Duos II,201
306,Elgar: Cello Concerto & Vaughan Williams: Fantasias,241
71,Elis Regina-Minha Hist√≥ria,41
116,Emergency On Planet Earth,92
314,English Renaissance,247
265,Every Kind of Light,200
88,Faceless,87
7,Facelift,5
288,"Faur√Requiem, Ravel: Pavane & Others",222
99,Fear Of The Dark,90
60,Fireball,58
1,For Those About To Rock We Salute You,1
322,Frank,252
163,From The Muddy Banks Of The Wishkah [live],110
330,G√recki: Symphony No. 3,260
35,Garage Inc. (Disc 1),50
149,Garage Inc. (Disc 2),50
119,Get Born,93
286,Great Opera Choruses,220
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,228
305,Great Recordings of the Century - Mahler: Das Lied von der Erde,240
341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",270
339,Great Recordings of the Century: Paganini's 24 Caprices,268
141,Greatest Hits,100
185,Greatest Hits I,51
36,Greatest Hits II,51
37,Greatest Kiss,52
188,Green,124
316,Grieg: Peer Gynt Suites & Sibelius: Pell√©as et M√©lisande,248
315,Handel: Music for the Royal Fireworks (Original Version 1749),208
279,Handel: The Messiah (Highlights),213
283,Haydn: Symphonies 99 - 104,217
38,Heart of the Night,53
228,"Heroes, Season 1",148
292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",226
216,"Hot Rocks, 1964-1971 (Disc 1)",142
258,House of Pain,180
129,Houses Of The Holy,22
235,How To Dismantle An Atomic Bomb,150
205,In Step,133
130,In Through The Out Door,22
79,In Your Honor [Disc 1],84
80,In Your Honor [Disc 2],84
255,Instant Karma: The Amnesty International Campaign to Save Darfur,150
39,International Superhits,54
40,Into The Light,55
100,Iron Maiden,90
131,IV,22
335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265
6,Jagged Little Pill,4
122,Jorge Ben Jor 25 Anos,46
123,Jota Quest-1995,96
201,Judas 0: B-Sides and Rarities,131
150,Kill 'Em All,50
101,Killers,90
76,King For A Day Fool For A Lifetime,82
61,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,58
347,Koyaanisqatsi (Soundtrack from the Motion Picture),275
132,Led Zeppelin I,22
133,Led Zeppelin II,22
134,Led Zeppelin III,22
